lei,name
549300ZOBXG0DT4I6U54,"1ST 2ND MORTGAGE COMPANY OF N.J., INC."
254900Q9V3DYHBRTUH61,1st National Bank
549300MIDG4TRYO5ON35,"1ST RELIANT HOME LOANS, INC."
5493003T5D4N1CM46J77,1st Security Bank of Washington
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION
549300IJHNLS0J1YJW64,5 ARCH FUNDING CORP.
549300NLJI4QKZ3D0G94,"5TH STREET CAPITAL, INC."
549300O4KTZGM04CCZ47,Abbott Laboratories Employees Credit Union
549300LP0CV2MNC1GV68,"Academy Bank, National Association"
549300WTZMQSET2VY242,ACADEMY MORTGAGE CORPORATION
549300JHSXRPXKX47M78,"ACCELERATE MORTGAGE, LLC"
5493009PLGT79KQ6HO15,Access Bank
549300TJGBPVMBWV5P74,Admirals Bank
549300I1HK1BBZLKOB84,ADVANCIAL
549300EWGL0JGA62YY67,ADVANTAGE PLUS
254900MNIT450KPDA114,ADVANTIS
254900F9ZTVTX763V835,"Advisors Mortgage Group, L.L.C."
5493004CZUGDTDC6QB68,AEROSPACE FEDERAL CREDIT UNION
549300KST6N97GYH0O45,"Affiliated Bank, National Association"
5493004UNRG4PWDF2K60,AFFINITY
MMO6VV34TNP4Z1T8NG83,AgFirst Farm Credit Bank
254900JZN2V0PWFMW808,AHL FUNDING
549300ELXS6PBT8OEE44,AIR ACADEMY
5493000OM9RKJW8W5K82,ALAMEDA MORTGAGE CORPORATION
549300DK7QID2ZON6Q55,Alaska USA Federal Credit Union
549300LQJS5UF0000H97,Alaska USA Mortgage Company LLC
549300C4J510S9L1RF98,"Alerus Financial, National Association"
5493007BX4I89K17ZM64,"ALL REVERSE MORTGAGE, INC."
549300D0TGZMG03GNM36,"ALL WESTERN MORTGAGE, INC."
549300T94GSH3C4U5M59,ALLIANT CREDIT UNION
549300XRF9LCZ3RX3Q39,"Allied First Bank,sb"
549300RYWXR8TL5LIK35,"ALLIED MORTGAGE GROUP, INC."
5493003TK1BAOHHL6S92,ALLTRU Federal Credit Union
549300C04BJ0G297NC13,Ally Bank
254900UO8HSLT3L5XF84,Altabank
549300A0SVCQJPHVGV20,ALTRA
254900FMBXF85WQYV433,Amalgamated Bank
549300ONBM4MGXXBTA44,"AMCAP MORTGAGE, LTD."
5493007I0X1GRWIU8B34,AMERICA FIRST
549300TINI6CL78UD591,AMERICAN ADVISORS GROUP
5493004RLLKTQS8K7U51,American Airlines Federal Credit Union
549300T03X096VF60C57,American Bank & Trust
549300AQ83ZR1PW5DB53,"American Bank and Trust Company, National Association"
549300BRSSSUNB0U6552,"American Bank, National Association"
549300I3HDJ5QJNFPZ87,AMERICAN FINANCE HOUSE LARIBA
5493008NWHQT1R22C024,"AMERICAN FINANCIAL NETWORK, INC."
5493002B2WMHY23GFK92,"AMERICAN FINANCIAL RESOURCES, INC."
549300ALNLUNS3Y53T24,AMERICAN FINANCING CORPORATION
549300GIVX5W7UETD809,AMERICAN FIRST
549300Z0ZUTDURG4KA31,"AMERICAN HERITAGE CAPITAL, L.P."
549300ZPSJZO10ZAX556,"AMERICAN HERITAGE LENDING, INC."
549300QRLVIA94OVXY15,"AMERICAN HOMESTAR MORTGAGE, L.L.C."
549300BOXNV8VLRBDT24,"AMERICAN INTERNET MORTGAGE, INC."
254900EOYK0UXLROBX92,American Mortgage and Insurance Inc.
549300WKXTUY0SWZNZ90,"AMERICAN NATIONWIDE MORTGAGE COMPANY, INC."
549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION
549300BBKMRS6J0CB539,AMERICAN PORTFOLIO MORTGAGE CORPORATION
549300SVLCM6NZQ53P14,"Amerifirst Financial, Inc."
254900HA4DQWAE0W3342,"AmeriHome Mortgage Company, LLC"
IUGPUX5LWRZ3B6KIZ697,Ameris Bank
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION
54930065B0NVUO52TY13,AmRes Corporation
549300O6Z0I6KYMESL47,AMWEST FUNDING CORP.
549300623VT8YKPHWM78,"ANCHOR LOANS, LP"
549300D2OYT7VTDY6Z20,ANDREWS FEDERAL CREDIT UNION
549300KSOOZZVXCMA627,ANGEL OAK MORTGAGE SOLUTIONS LLC
5493002QP2ONO47G5R24,APCI Federal Credit Union
549300WZWPMDWIL12842,Apex Bank
54930099BVD0E448JX38,Arbor Bank
549300E5018DD89WPX79,ARBOR FINANCIAL CREDIT UNION
549300ASFUWYQO0RW077,"Arbor Realty Trust, Inc."
54930048P8RWCQHQM310,ARC HOME LLC
549300V36YE6JCCEJB76,ARIZONA
5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC."
5493007CLWQN2S6IZK91,"Armed Forces Bank, National Association"
COINQMNIM6RBU631DD85,Arvest Bank
5493007OXXFLNNHTW637,ASSEMBLIES OF GOD Credit Union
